Dual CD4051 Shared ABC Proteus Simulation
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160
160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160,160,160,244,244,160,160,244,244,160,244,160,244,160,244,160,160

